grammar_type	nsyl	front	word
verb	3	TRUE	nűfökel
noun	1	FALSE	stúk
noun	1	TRUE	még
noun	2	FALSE	nogyur
noun	2	TRUE	fímíl
noun	3	FALSE	kízsupav
noun	3	TRUE	kéltízsűd
verb	1	FALSE	szuk
verb	1	TRUE	fit
verb	2	FALSE	jadíz
verb	2	TRUE	keszík
verb	3	FALSE	voktunspak
verb	3	TRUE	bílövíd
noun	1	FALSE	szok
noun	1	TRUE	méb
noun	2	FALSE	nogyluz
noun	2	TRUE	vűzsez
noun	3	FALSE	foszuvur
noun	3	TRUE	zsűlüplűl
verb	1	FALSE	víl
verb	1	TRUE	völ
verb	2	FALSE	rókaz
verb	2	TRUE	bőgil
verb	3	FALSE	kigurar
verb	3	TRUE	fefeping
noun	1	FALSE	tag
noun	1	TRUE	kők
noun	2	FALSE	mugíz
noun	2	TRUE	szűprik
noun	3	FALSE	bóvulgált
noun	3	TRUE	böpövőn
verb	1	FALSE	bok
verb	1	TRUE	föd
verb	2	FALSE	zsórul
verb	2	TRUE	pétöt
verb	3	FALSE	vózokaz
verb	3	TRUE	kőmívöd
noun	1	FALSE	jug
noun	1	TRUE	bet
noun	2	FALSE	lírug
noun	2	TRUE	lűltíg
noun	3	FALSE	latazkáz
noun	3	TRUE	vűszötöld
verb	1	FALSE	laz
verb	1	TRUE	kek
verb	2	FALSE	rutor
verb	2	TRUE	sösüng
verb	3	FALSE	púkoldít
verb	3	TRUE	télesztön
noun	1	FALSE	pum
noun	1	TRUE	mél
noun	2	FALSE	kardur
noun	2	TRUE	teküv
noun	3	FALSE	píbrilfót
noun	3	TRUE	fitigyét
verb	1	FALSE	fúl
verb	1	TRUE	tril
verb	2	FALSE	tógal
verb	2	TRUE	fükíz
verb	3	FALSE	tukonyun
verb	3	TRUE	kűjrüsür
noun	1	FALSE	vif
noun	1	TRUE	rék
noun	2	FALSE	bamit
noun	2	TRUE	szemlüg
noun	3	FALSE	szikuvog
noun	3	TRUE	műszingek
verb	1	FALSE	goz
verb	1	TRUE	füt
verb	2	FALSE	drúrkuk
verb	2	TRUE	szüsmek
verb	3	FALSE	potyítog
verb	3	TRUE	fömötél
noun	1	FALSE	tin
noun	1	TRUE	sít
noun	2	FALSE	zúmol
noun	2	TRUE	lepelt
noun	3	FALSE	pizíkáz
noun	3	TRUE	tűbösök
verb	1	FALSE	szig
verb	1	TRUE	sék
verb	2	FALSE	nóvat
verb	2	TRUE	kümil
verb	3	FALSE	tapovól
verb	3	TRUE	símeter
noun	1	FALSE	fraj
noun	1	TRUE	pír
noun	2	FALSE	furgyant
noun	2	TRUE	külör
noun	3	FALSE	fotrokral
noun	3	TRUE	spürtisför
verb	1	FALSE	fúl
verb	1	TRUE	miz
verb	2	FALSE	szákuz
verb	2	TRUE	sévür
verb	3	FALSE	rasardót
verb	3	TRUE	sigölet
noun	1	FALSE	son
noun	1	TRUE	bük
noun	2	FALSE	tapíg
noun	2	TRUE	tősíj
noun	3	FALSE	kilkikak
noun	3	TRUE	peröküd
verb	1	FALSE	zun
verb	1	TRUE	téz
verb	2	FALSE	mígyig
verb	2	TRUE	débez
verb	3	FALSE	rízavód
verb	3	TRUE	vűmenszűk
noun	1	FALSE	rót
noun	1	TRUE	tűlp
noun	2	FALSE	tuvug
noun	2	TRUE	jilöv
noun	3	FALSE	livubuk
noun	3	TRUE	nerírit
verb	1	FALSE	ral
verb	1	TRUE	fők
verb	2	FALSE	binyíd
verb	2	TRUE	siken
verb	3	FALSE	kulukul
verb	3	TRUE	pűvögzüv
noun	1	FALSE	kogy
noun	1	TRUE	löj
noun	2	FALSE	minar
noun	2	TRUE	dőlíb
noun	3	FALSE	tolulor
noun	3	TRUE	físzöskét
verb	1	FALSE	tíl
verb	1	TRUE	bek
verb	2	FALSE	dúrtut
verb	2	TRUE	tívil
verb	3	FALSE	fágijal
verb	3	TRUE	rűsterűt
noun	1	FALSE	talv
noun	1	TRUE	vől
noun	2	FALSE	mipir
noun	2	TRUE	beneb
noun	3	FALSE	rugyvípzál
noun	3	TRUE	szüflürtel
verb	1	FALSE	put
verb	1	TRUE	tük
verb	2	FALSE	gílmíl
verb	2	TRUE	szérít
verb	3	FALSE	kízipig
verb	3	TRUE	jegyelüz
noun	1	FALSE	pal
noun	1	TRUE	mörz
noun	2	FALSE	rupiv
noun	2	TRUE	mírük
noun	3	FALSE	mómpaszard
noun	3	TRUE	kőremör
verb	1	FALSE	zil
verb	1	TRUE	vög
verb	2	FALSE	rakíg
verb	2	TRUE	pölíg
verb	3	FALSE	gupumíl
verb	3	TRUE	bövegit
noun	1	FALSE	jíg
noun	1	TRUE	küf
noun	2	FALSE	mátart
noun	2	TRUE	bügem
noun	3	FALSE	káfunugy
noun	3	TRUE	mőtüszüt
verb	1	FALSE	szik
verb	1	TRUE	pőz
verb	2	FALSE	lutul
verb	2	TRUE	krűrüz
verb	3	FALSE	mafaszuz
verb	3	TRUE	rödütöl
noun	1	FALSE	nil
noun	1	TRUE	míl
noun	2	FALSE	szopíl
noun	2	TRUE	bűpeng
noun	3	FALSE	bípolal
noun	3	TRUE	külnömőlt
verb	1	FALSE	kal
verb	1	TRUE	lík
verb	2	FALSE	poldat
verb	2	TRUE	vödek
verb	3	FALSE	szífunyón
verb	3	TRUE	veszeríz
noun	1	FALSE	ból
noun	1	TRUE	güg
noun	2	FALSE	pómon
noun	2	TRUE	stümöl
noun	3	FALSE	rukakug
noun	3	TRUE	pibízőnt
verb	1	FALSE	vul
verb	1	TRUE	mík
verb	2	FALSE	kadal
verb	2	TRUE	litek
verb	3	FALSE	fovídíg
verb	3	TRUE	tősögyűt
noun	1	FALSE	pól
noun	1	TRUE	nint
noun	2	FALSE	fódok
noun	2	TRUE	piküm
noun	3	FALSE	líkampan
noun	3	TRUE	néngzeföm
verb	1	FALSE	sún
verb	1	TRUE	pét
verb	2	FALSE	kómat
verb	2	TRUE	semlit
verb	3	FALSE	kapímut
verb	3	TRUE	nézörit
noun	1	FALSE	kaf
noun	1	TRUE	vör
noun	2	FALSE	lúrzaj
noun	2	TRUE	főlvög
noun	3	FALSE	famalkog
noun	3	TRUE	lézlíldüt
verb	1	FALSE	kol
verb	1	TRUE	fél
verb	2	FALSE	víkil
verb	2	TRUE	kütöl
verb	3	FALSE	fikozlul
verb	3	TRUE	pűsevűl
noun	1	FALSE	bok
noun	1	TRUE	töm
noun	2	FALSE	kakor
noun	2	TRUE	gűbüt
noun	3	FALSE	módszurot
noun	3	TRUE	lőrelbez
verb	1	FALSE	rárt
verb	1	TRUE	pöl
verb	2	FALSE	sofant
verb	2	TRUE	szével
verb	3	FALSE	tukatal
verb	3	TRUE	fűlürők
noun	1	FALSE	vót
noun	1	TRUE	rüg
noun	2	FALSE	tútor
noun	2	TRUE	pősört
noun	3	FALSE	szúnikom
noun	3	TRUE	vüdebíz
verb	1	FALSE	fol
verb	1	TRUE	fők
verb	2	FALSE	szokil
verb	2	TRUE	sőktüz
verb	3	FALSE	mavobót
verb	3	TRUE	fiserjöz
noun	1	FALSE	dúg
noun	1	TRUE	téz
noun	2	FALSE	sábug
noun	2	TRUE	mípnem
noun	3	FALSE	lóbodín
noun	3	TRUE	némütyöz
verb	1	FALSE	dol
verb	1	TRUE	míp
verb	2	FALSE	fúlat
verb	2	TRUE	dőböl
verb	3	FALSE	fúbifol
verb	3	TRUE	szelínkül
noun	1	FALSE	rán
noun	1	TRUE	süm
noun	2	FALSE	mófon
noun	2	TRUE	mifít
noun	3	FALSE	lovíljag
noun	3	TRUE	kömötüg
verb	1	FALSE	put
verb	1	TRUE	vöz
verb	2	FALSE	tazdul
verb	2	TRUE	möfök
verb	3	FALSE	laginyúd
verb	3	TRUE	jöndögyét
noun	1	FALSE	pan
noun	1	TRUE	tüny
noun	2	FALSE	dátíb
noun	2	TRUE	ferün
noun	3	FALSE	barikul
noun	3	TRUE	bézröszlen
verb	1	FALSE	lol
verb	1	TRUE	mült
verb	2	FALSE	kátíz
verb	2	TRUE	vümült
verb	3	FALSE	míszfulmut
verb	3	TRUE	pövíjtöt
noun	1	FALSE	tug
noun	1	TRUE	küd
noun	2	FALSE	mitav
noun	2	TRUE	döteg
noun	3	FALSE	kajsifij
noun	3	TRUE	mibíprek
verb	1	FALSE	púk
verb	1	TRUE	föl
verb	2	FALSE	fábíl
verb	2	TRUE	venvíl
verb	3	FALSE	fígyusak
verb	3	TRUE	tígetüg
noun	1	FALSE	nák
noun	1	TRUE	tűt
noun	2	FALSE	toltiny
noun	2	TRUE	szífük
noun	3	FALSE	forzídar
noun	3	TRUE	külketör
verb	1	FALSE	rók
verb	1	TRUE	süt
verb	2	FALSE	pógdal
verb	2	TRUE	keröt
verb	3	FALSE	vasuljal
verb	3	TRUE	tövisel
noun	1	FALSE	kom
noun	1	TRUE	dőr
noun	2	FALSE	moszil
noun	2	TRUE	letön
noun	3	FALSE	tósítújt
noun	3	TRUE	tűrkülőt
verb	1	FALSE	pajt
verb	1	TRUE	mét
verb	2	FALSE	rászor
verb	2	TRUE	kítül
verb	3	FALSE	pákujot
verb	3	TRUE	műszekiz
noun	1	FALSE	kál
noun	1	TRUE	pöd
noun	2	FALSE	numil
noun	2	TRUE	pőlönt
noun	3	FALSE	subízun
noun	3	TRUE	rűtívij
verb	1	FALSE	kóg
verb	1	TRUE	jíg
verb	2	FALSE	tablíz
verb	2	TRUE	dűmlit
verb	3	FALSE	szósafut
verb	3	TRUE	relimén
noun	1	FALSE	dúl
noun	1	TRUE	két
noun	2	FALSE	kógylat
noun	2	TRUE	nelend
noun	3	FALSE	vanurán
noun	3	TRUE	pímözgük
verb	1	FALSE	bol
verb	1	TRUE	pök
verb	2	FALSE	tabal
verb	2	TRUE	vőrel
verb	3	FALSE	szábupúl
verb	3	TRUE	beltöpít
noun	1	FALSE	kog
noun	1	TRUE	püj
noun	2	FALSE	bászar
noun	2	TRUE	tőbíg
noun	3	FALSE	kútakszag
noun	3	TRUE	zűgönür
verb	1	FALSE	kíl
verb	1	TRUE	vől
verb	2	FALSE	szudíd
verb	2	TRUE	rögtök
verb	3	FALSE	szúdodík
verb	3	TRUE	fédülít
noun	1	FALSE	szág
noun	1	TRUE	tér
noun	2	FALSE	kutup
noun	2	TRUE	möböt
noun	3	FALSE	korlorón
noun	3	TRUE	főtörét
verb	1	FALSE	fíl
verb	1	TRUE	pit
verb	2	FALSE	gívul
verb	2	TRUE	délek
verb	3	FALSE	másozíg
verb	3	TRUE	mösztísők
noun	1	FALSE	lojt
noun	1	TRUE	sör
noun	2	FALSE	vulszun
noun	2	TRUE	sűlel
noun	3	FALSE	sofítin
noun	3	TRUE	bőrívül
verb	1	FALSE	tát
verb	1	TRUE	rök
verb	2	FALSE	rúzat
verb	2	TRUE	bepük
verb	3	FALSE	kónyoszak
verb	3	TRUE	rebütöt
noun	1	FALSE	fil
noun	1	TRUE	gük
noun	2	FALSE	kújul
noun	2	TRUE	lémek
noun	3	FALSE	fujalurt
noun	3	TRUE	fivüzép
verb	1	FALSE	kúj
verb	1	TRUE	lég
verb	2	FALSE	tájan
verb	2	TRUE	jedez
verb	3	FALSE	lostírunt
verb	3	TRUE	fílerit
noun	1	FALSE	tum
noun	1	TRUE	vit
noun	2	FALSE	rulang
noun	2	TRUE	vösmöt
noun	3	FALSE	jóbogyit
noun	3	TRUE	pülfiküp
verb	1	FALSE	tuz
verb	1	TRUE	bek
verb	2	FALSE	fubuk
verb	2	TRUE	rűkün
verb	3	FALSE	szovozdul
verb	3	TRUE	szésztörtík
noun	1	FALSE	gák
noun	1	TRUE	ked
noun	2	FALSE	rajígy
noun	2	TRUE	kürleg
noun	3	FALSE	kógazsíz
noun	3	TRUE	tőfílüt
verb	1	FALSE	tún
verb	1	TRUE	vüz
verb	2	FALSE	vólíl
verb	2	TRUE	bemlök
verb	3	FALSE	maragik
verb	3	TRUE	készösel
noun	1	FALSE	kóng
noun	1	TRUE	kít
noun	2	FALSE	kuraz
noun	2	TRUE	tetin
noun	3	FALSE	kúkomág
noun	3	TRUE	keltinűr
verb	1	FALSE	mok
verb	1	TRUE	küz
verb	2	FALSE	níbing
verb	2	TRUE	képöl
verb	3	FALSE	dutunyók
verb	3	TRUE	küglöszíl
noun	1	FALSE	dúj
noun	1	TRUE	fer
noun	2	FALSE	vazron
noun	2	TRUE	kőmít
noun	3	FALSE	vókakíny
noun	3	TRUE	szüfiszeng
verb	1	FALSE	fal
verb	1	TRUE	díl
verb	2	FALSE	búvoz
verb	2	TRUE	tírüt
verb	3	FALSE	kófotúng
verb	3	TRUE	jéregyöl
noun	1	FALSE	muk
noun	1	TRUE	keg
noun	2	FALSE	nózap
noun	2	TRUE	febül
noun	3	FALSE	tokrupom
noun	3	TRUE	strügifük
verb	1	FALSE	plóng
verb	1	TRUE	güg
verb	2	FALSE	tofogy
verb	2	TRUE	ferüt
verb	3	FALSE	nufantat
verb	3	TRUE	dőtyütűt
noun	1	FALSE	fot
noun	1	TRUE	szök
noun	2	FALSE	puntiny
noun	2	TRUE	tűlid
noun	3	FALSE	báltogyuk
noun	3	TRUE	kődösög
verb	1	FALSE	raz
verb	1	TRUE	vők
verb	2	FALSE	pímal
verb	2	TRUE	möbeng
verb	3	FALSE	fánzífol
verb	3	TRUE	röjipríl
noun	1	FALSE	fuj
noun	1	TRUE	dit
noun	2	FALSE	tójom
noun	2	TRUE	jübög
noun	3	FALSE	káfalún
noun	3	TRUE	prőbörjir
verb	1	FALSE	kuk
verb	1	TRUE	kük
verb	2	FALSE	bútong
verb	2	TRUE	fölüng
verb	3	FALSE	tónamol
verb	3	TRUE	lívebrek
noun	1	FALSE	tam
noun	1	TRUE	fört
noun	2	FALSE	kárfurd
noun	2	TRUE	kégir
noun	3	FALSE	lásidvóz
noun	3	TRUE	füteköt
verb	1	FALSE	dak
verb	1	TRUE	kől
verb	2	FALSE	túrag
verb	2	TRUE	kekül
verb	3	FALSE	gúpival
verb	3	TRUE	bösztesöt
noun	1	FALSE	túg
noun	1	TRUE	küt
noun	2	FALSE	vodzsot
noun	2	TRUE	sötrüt
noun	3	FALSE	promujul
noun	3	TRUE	nüzgístíl
verb	1	FALSE	szoz
verb	1	TRUE	szel
verb	2	FALSE	vandit
verb	2	TRUE	kébig
verb	3	FALSE	kuskotok
verb	3	TRUE	sűbüslűl
noun	1	FALSE	lúm
noun	1	TRUE	bék
noun	2	FALSE	szítir
noun	2	TRUE	mitröt
noun	3	FALSE	búluvut
noun	3	TRUE	sertíről
verb	1	FALSE	dul
verb	1	TRUE	diz
verb	2	FALSE	duszíl
verb	2	TRUE	timüd
verb	3	FALSE	tómopóp
verb	3	TRUE	fénifül
noun	1	FALSE	rul
noun	1	TRUE	kled
noun	2	FALSE	minszid
noun	2	TRUE	tűrnün
noun	3	FALSE	tataszuny
noun	3	TRUE	tüsekügy
verb	1	FALSE	jal
verb	1	TRUE	fil
verb	2	FALSE	pólkak
verb	2	TRUE	rírül
verb	3	FALSE	súrarít
verb	3	TRUE	vüpönüz
noun	1	FALSE	kak
noun	1	TRUE	leg
noun	2	FALSE	vónyuk
noun	2	TRUE	vűzez
noun	3	FALSE	púkasurn
noun	3	TRUE	tédürenz
verb	1	FALSE	sók
verb	1	TRUE	lüg
verb	2	FALSE	fobunt
verb	2	TRUE	fömíl
verb	3	FALSE	kadotak
verb	3	TRUE	livimvök
noun	1	FALSE	szagy
noun	1	TRUE	mín
noun	2	FALSE	fonud
noun	2	TRUE	küdöl
noun	3	FALSE	mazilárk
noun	3	TRUE	kerölül
verb	1	FALSE	nol
verb	1	TRUE	bíl
verb	2	FALSE	vások
verb	2	TRUE	kekil
verb	3	FALSE	fívilun
verb	3	TRUE	röbrökönt
noun	1	FALSE	tín
noun	1	TRUE	zsűk
noun	2	FALSE	bímul
noun	2	TRUE	kőrigy
noun	3	FALSE	vudolur
noun	3	TRUE	zsűveget
verb	1	FALSE	lok
verb	1	TRUE	püz
verb	2	FALSE	láktik
verb	2	TRUE	küpeg
verb	3	FALSE	vaturol
verb	3	TRUE	pübdörtyűd
noun	1	FALSE	tum
noun	1	TRUE	fer
noun	2	FALSE	taszup
noun	2	TRUE	nemöny
noun	3	FALSE	látarkur
noun	3	TRUE	trüjletér
verb	1	FALSE	jag
verb	1	TRUE	def
verb	2	FALSE	júpil
verb	2	TRUE	mőstrüt
verb	3	FALSE	rírmudul
verb	3	TRUE	kűpekög
noun	1	FALSE	rak
noun	1	TRUE	ten
noun	2	FALSE	mapun
noun	2	TRUE	zözet
noun	3	FALSE	kumabók
noun	3	TRUE	dítrízgög
verb	1	FALSE	lit
verb	1	TRUE	tűg
verb	2	FALSE	pudot
verb	2	TRUE	vöpíl
verb	3	FALSE	káturjok
verb	3	TRUE	bőntürköl
noun	1	FALSE	pat
noun	1	TRUE	színy
noun	2	FALSE	tájat
noun	2	TRUE	kiker
noun	3	FALSE	lodamún
noun	3	TRUE	vőlümőg
verb	1	FALSE	tól
verb	1	TRUE	pük
verb	2	FALSE	fótok
verb	2	TRUE	tébek
verb	3	FALSE	fútovojt
verb	3	TRUE	rérgüjőz
noun	1	FALSE	vál
noun	1	TRUE	kín
noun	2	FALSE	fúnond
noun	2	TRUE	retek
noun	3	FALSE	fóbamung
noun	3	TRUE	vőpülzéz
verb	1	FALSE	rók
verb	1	TRUE	tök
verb	2	FALSE	ronuk
verb	2	TRUE	förvík
verb	3	FALSE	raztamol
verb	3	TRUE	fündílül
noun	1	FALSE	gar
noun	1	TRUE	fül
noun	2	FALSE	pulmík
noun	2	TRUE	möpet
noun	3	FALSE	dukuszlod
noun	3	TRUE	léresil
verb	1	FALSE	dut
verb	1	TRUE	zöl
verb	2	FALSE	márak
verb	2	TRUE	kődöl
verb	3	FALSE	szúfolkil
verb	3	TRUE	vütídrölt
noun	1	FALSE	nor
noun	1	TRUE	nül
noun	2	FALSE	bómok
noun	2	TRUE	fökür
noun	3	FALSE	szókojkup
noun	3	TRUE	szönzítön
verb	1	FALSE	síz
verb	1	TRUE	tíz
verb	2	FALSE	viszít
verb	2	TRUE	deszüz
verb	3	FALSE	vótalkir
verb	3	TRUE	kédelél
noun	1	FALSE	rut
noun	1	TRUE	tríg
noun	2	FALSE	bifon
noun	2	TRUE	vídüz
noun	3	FALSE	bakurkoj
noun	3	TRUE	tőtebör
verb	1	FALSE	prót
verb	1	TRUE	küg
verb	2	FALSE	kobal
verb	2	TRUE	mézsüt
verb	3	FALSE	szakuvát
verb	3	TRUE	söteműng
noun	1	FALSE	fít
noun	1	TRUE	dér
noun	2	FALSE	tugnud
noun	2	TRUE	pűret
noun	3	FALSE	lóvomók
noun	3	TRUE	tömüszén
verb	1	FALSE	súk
verb	1	TRUE	kid
verb	2	FALSE	tándol
verb	2	TRUE	küdek
verb	3	FALSE	káfímoz
verb	3	TRUE	möszület
noun	1	FALSE	púl
noun	1	TRUE	kőny
noun	2	FALSE	nútugy
noun	2	TRUE	fegnüt
noun	3	FALSE	júrkasun
noun	3	TRUE	tröjkíret
verb	1	FALSE	tút
verb	1	TRUE	kek
verb	2	FALSE	tarok
verb	2	TRUE	kinvök
verb	3	FALSE	farbiruk
verb	3	TRUE	betöböl
noun	1	FALSE	zíz
noun	1	TRUE	fel
noun	2	FALSE	mokot
noun	2	TRUE	tűsed
noun	3	FALSE	vimlulúrt
noun	3	TRUE	kitenfűz
verb	1	FALSE	kol
verb	1	TRUE	nűt
verb	2	FALSE	pilut
verb	2	TRUE	jővöl
verb	3	FALSE	kúliput
verb	3	TRUE	vűmövel
noun	1	FALSE	klalt
noun	1	TRUE	szöt
noun	2	FALSE	mokun
noun	2	TRUE	kükíg
noun	3	FALSE	vátopond
noun	3	TRUE	kölsítöny
verb	1	FALSE	pot
verb	1	TRUE	nir
verb	2	FALSE	bunyal
verb	2	TRUE	pertít
verb	3	FALSE	fíbízagy
verb	3	TRUE	sűtözügy
noun	1	FALSE	pav
noun	1	TRUE	künd
noun	2	FALSE	botur
noun	2	TRUE	dévörv
noun	3	FALSE	fubílát
noun	3	TRUE	sefimír
verb	1	FALSE	najt
verb	1	TRUE	til
verb	2	FALSE	magyan
verb	2	TRUE	dínspel
verb	3	FALSE	gókotyil
verb	3	TRUE	dörnyüszűk
noun	1	FALSE	kuz
noun	1	TRUE	géz
noun	2	FALSE	tátont
noun	2	TRUE	neszöny
noun	3	FALSE	fujtokol
noun	3	TRUE	verünőm
verb	1	FALSE	puz
verb	1	TRUE	tüng
verb	2	FALSE	kirbak
verb	2	TRUE	vővez
verb	3	FALSE	tósaraz
verb	3	TRUE	kétrityöt
noun	1	FALSE	tur
noun	1	TRUE	löz
noun	2	FALSE	kásaj
noun	2	TRUE	bésmöm
noun	3	FALSE	ruszírák
noun	3	TRUE	bülelör
verb	1	FALSE	fúl
verb	1	TRUE	rüt
verb	2	FALSE	kárul
verb	2	TRUE	kepik
verb	3	FALSE	píszijóg
verb	3	TRUE	sidenyül
noun	1	FALSE	szal
noun	1	TRUE	két
noun	2	FALSE	tamal
noun	2	TRUE	kilül
noun	3	FALSE	kondibog
noun	3	TRUE	szőfüpőg
verb	1	FALSE	múg
verb	1	TRUE	sör
verb	2	FALSE	tilíl
verb	2	TRUE	péköl
verb	3	FALSE	pogopúk
verb	3	TRUE	fűnedrűlt
noun	1	FALSE	nal
noun	1	TRUE	fiz
noun	2	FALSE	damon
noun	2	TRUE	fibír
noun	3	FALSE	momínol
noun	3	TRUE	rűrímem
verb	1	FALSE	szól
verb	1	TRUE	kit
verb	2	FALSE	kúklat
verb	2	TRUE	szőmök
verb	3	FALSE	víriszkijt
verb	3	TRUE	pőbönűt
noun	1	FALSE	szók
noun	1	TRUE	fől
noun	2	FALSE	vutím
noun	2	TRUE	küngen
noun	3	FALSE	túrogyog
noun	3	TRUE	délilüny
verb	1	FALSE	kík
verb	1	TRUE	püz
verb	2	FALSE	tófot
verb	2	TRUE	tőtür
verb	3	FALSE	fisírat
verb	3	TRUE	tentiköl
noun	1	FALSE	ráz
noun	1	TRUE	kűgy
noun	2	FALSE	kórdit
noun	2	TRUE	köszür
noun	3	FALSE	lúskabut
noun	3	TRUE	mögöblöm
verb	1	FALSE	vák
verb	1	TRUE	med
verb	2	FALSE	fólot
verb	2	TRUE	pedík
verb	3	FALSE	fívuszolt
