grammar_type	nsyl	front	word	pass_real	pass_nonce
verb	2	FALSE	jadíz	TRUE	TRUE
verb	2	TRUE	keszík	TRUE	FALSE
verb	3	FALSE	voktunspak	TRUE	TRUE
verb	3	TRUE	bílövíd	TRUE	TRUE
noun	2	FALSE	nogyluz	TRUE	TRUE
noun	2	TRUE	vűzsez	TRUE	FALSE
verb	1	FALSE	víl	FALSE	FALSE
verb	1	TRUE	völ	FALSE	FALSE
verb	2	FALSE	rókaz	FALSE	FALSE
verb	2	TRUE	bőgil	TRUE	FALSE
verb	3	FALSE	kigurar	TRUE	TRUE
verb	3	TRUE	fefeping	TRUE	TRUE
noun	2	FALSE	mugíz	TRUE	TRUE
noun	2	TRUE	szűprik	TRUE	TRUE
verb	1	FALSE	bok	FALSE	FALSE
verb	2	FALSE	zsórul	TRUE	FALSE
verb	2	TRUE	pétöt	TRUE	FALSE
verb	3	FALSE	vózokaz	TRUE	TRUE
verb	3	TRUE	kőmívöd	TRUE	TRUE
noun	2	FALSE	lírug	TRUE	TRUE
noun	2	TRUE	lűltíg	TRUE	TRUE
verb	1	FALSE	laz	FALSE	FALSE
verb	1	TRUE	kek	FALSE	FALSE
verb	2	FALSE	rutor	FALSE	FALSE
verb	2	TRUE	sösüng	TRUE	FALSE
verb	3	FALSE	púkoldít	TRUE	TRUE
verb	3	TRUE	télesztön	TRUE	TRUE
noun	2	FALSE	kardur	TRUE	TRUE
noun	2	TRUE	teküv	TRUE	FALSE
verb	1	TRUE	tril	FALSE	FALSE
verb	2	FALSE	tógal	FALSE	FALSE
verb	2	TRUE	fükíz	TRUE	TRUE
verb	3	FALSE	tukonyun	TRUE	TRUE
verb	3	TRUE	kűjrüsür	TRUE	TRUE
noun	2	FALSE	bamit	TRUE	FALSE
noun	2	TRUE	szemlüg	TRUE	TRUE
verb	1	FALSE	goz	FALSE	FALSE
verb	1	TRUE	füt	FALSE	FALSE
verb	2	FALSE	drúrkuk	TRUE	TRUE
verb	2	TRUE	szüsmek	TRUE	TRUE
verb	3	FALSE	potyítog	TRUE	TRUE
verb	3	TRUE	fömötél	TRUE	TRUE
noun	2	FALSE	zúmol	TRUE	TRUE
noun	2	TRUE	lepelt	FALSE	TRUE
verb	1	FALSE	szig	FALSE	FALSE
verb	1	TRUE	sék	FALSE	FALSE
verb	2	FALSE	nóvat	FALSE	FALSE
verb	2	TRUE	kümil	TRUE	FALSE
verb	3	FALSE	tapovól	TRUE	TRUE
verb	3	TRUE	símeter	TRUE	TRUE
noun	2	FALSE	furgyant	TRUE	TRUE
noun	2	TRUE	külör	FALSE	FALSE
verb	1	TRUE	miz	FALSE	FALSE
verb	2	FALSE	szákuz	TRUE	TRUE
verb	2	TRUE	sévür	TRUE	FALSE
verb	3	FALSE	rasardót	TRUE	TRUE
verb	3	TRUE	sigölet	TRUE	TRUE
noun	2	FALSE	tapíg	FALSE	FALSE
noun	2	TRUE	tősíj	TRUE	TRUE
verb	1	FALSE	zun	FALSE	FALSE
verb	1	TRUE	téz	FALSE	FALSE
verb	2	FALSE	mígyig	TRUE	TRUE
verb	2	TRUE	débez	TRUE	TRUE
verb	3	FALSE	rízavód	TRUE	TRUE
verb	3	TRUE	vűmenszűk	TRUE	TRUE
noun	2	FALSE	tuvug	TRUE	FALSE
noun	2	TRUE	jilöv	TRUE	TRUE
verb	1	FALSE	ral	FALSE	FALSE
verb	1	TRUE	fők	FALSE	FALSE
verb	2	FALSE	binyíd	TRUE	TRUE
verb	2	TRUE	siken	FALSE	FALSE
verb	3	FALSE	kulukul	TRUE	FALSE
verb	3	TRUE	pűvögzüv	TRUE	TRUE
noun	2	FALSE	minar	FALSE	FALSE
noun	2	TRUE	dőlíb	TRUE	TRUE
verb	1	FALSE	tíl	FALSE	FALSE
verb	1	TRUE	bek	FALSE	FALSE
verb	2	FALSE	dúrtut	TRUE	TRUE
verb	2	TRUE	tívil	TRUE	FALSE
verb	3	FALSE	fágijal	TRUE	TRUE
verb	3	TRUE	rűsterűt	TRUE	TRUE
noun	2	FALSE	mipir	TRUE	TRUE
noun	2	TRUE	beneb	FALSE	FALSE
verb	1	FALSE	put	FALSE	FALSE
verb	1	TRUE	tük	FALSE	FALSE
verb	2	FALSE	gílmíl	TRUE	TRUE
verb	2	TRUE	szérít	FALSE	FALSE
verb	3	FALSE	kízipig	TRUE	TRUE
verb	3	TRUE	jegyelüz	TRUE	TRUE
noun	2	FALSE	rupiv	TRUE	TRUE
noun	2	TRUE	mírük	TRUE	FALSE
verb	1	FALSE	zil	FALSE	FALSE
verb	1	TRUE	vög	FALSE	FALSE
verb	2	FALSE	rakíg	TRUE	FALSE
verb	2	TRUE	pölíg	TRUE	TRUE
verb	3	FALSE	gupumíl	TRUE	TRUE
verb	3	TRUE	bövegit	TRUE	TRUE
noun	2	FALSE	mátart	TRUE	TRUE
noun	2	TRUE	bügem	TRUE	FALSE
verb	1	TRUE	pőz	FALSE	FALSE
verb	2	FALSE	lutul	FALSE	FALSE
verb	2	TRUE	krűrüz	TRUE	FALSE
verb	3	FALSE	mafaszuz	TRUE	TRUE
verb	3	TRUE	rödütöl	TRUE	TRUE
noun	2	FALSE	szopíl	TRUE	FALSE
noun	2	TRUE	bűpeng	TRUE	TRUE
verb	1	FALSE	kal	FALSE	FALSE
verb	1	TRUE	lík	FALSE	FALSE
verb	2	FALSE	poldat	FALSE	TRUE
verb	2	TRUE	vödek	TRUE	FALSE
verb	3	FALSE	szífunyón	TRUE	TRUE
verb	3	TRUE	veszeríz	TRUE	TRUE
noun	2	FALSE	pómon	TRUE	TRUE
noun	2	TRUE	stümöl	TRUE	TRUE
verb	1	TRUE	mík	FALSE	FALSE
verb	2	FALSE	kadal	FALSE	FALSE
verb	2	TRUE	litek	FALSE	FALSE
verb	3	FALSE	fovídíg	TRUE	TRUE
verb	3	TRUE	tősögyűt	TRUE	TRUE
noun	2	FALSE	fódok	TRUE	FALSE
noun	2	TRUE	piküm	TRUE	TRUE
verb	1	FALSE	sún	FALSE	FALSE
verb	1	TRUE	pét	FALSE	FALSE
verb	2	FALSE	kómat	FALSE	FALSE
verb	2	TRUE	semlit	TRUE	TRUE
verb	3	FALSE	kapímut	TRUE	TRUE
verb	3	TRUE	nézörit	TRUE	TRUE
noun	2	FALSE	lúrzaj	TRUE	TRUE
noun	2	TRUE	főlvög	TRUE	TRUE
verb	2	FALSE	víkil	TRUE	FALSE
verb	2	TRUE	kütöl	FALSE	FALSE
verb	3	FALSE	fikozlul	TRUE	TRUE
verb	3	TRUE	pűsevűl	TRUE	TRUE
noun	2	FALSE	kakor	FALSE	FALSE
noun	2	TRUE	gűbüt	TRUE	FALSE
verb	1	FALSE	rárt	FALSE	FALSE
verb	1	TRUE	pöl	FALSE	FALSE
verb	2	FALSE	sofant	TRUE	TRUE
verb	2	TRUE	szével	FALSE	FALSE
verb	3	FALSE	tukatal	TRUE	TRUE
verb	3	TRUE	fűlürők	TRUE	TRUE
noun	2	FALSE	tútor	FALSE	FALSE
noun	2	TRUE	pősört	TRUE	TRUE
verb	1	FALSE	fol	FALSE	FALSE
verb	2	FALSE	szokil	FALSE	FALSE
verb	2	TRUE	sőktüz	TRUE	TRUE
verb	3	FALSE	mavobót	TRUE	TRUE
verb	3	TRUE	fiserjöz	TRUE	TRUE
noun	2	FALSE	sábug	TRUE	FALSE
noun	2	TRUE	mípnem	FALSE	TRUE
verb	1	FALSE	dol	FALSE	FALSE
verb	1	TRUE	míp	FALSE	FALSE
verb	2	FALSE	fúlat	FALSE	FALSE
verb	2	TRUE	dőböl	TRUE	FALSE
verb	3	FALSE	fúbifol	TRUE	TRUE
verb	3	TRUE	szelínkül	TRUE	TRUE
noun	2	FALSE	mófon	TRUE	FALSE
noun	2	TRUE	mifít	TRUE	FALSE
verb	1	TRUE	vöz	FALSE	FALSE
verb	2	FALSE	tazdul	TRUE	TRUE
verb	2	TRUE	möfök	TRUE	FALSE
verb	3	FALSE	laginyúd	TRUE	TRUE
verb	3	TRUE	jöndögyét	TRUE	TRUE
noun	2	FALSE	dátíb	TRUE	TRUE
noun	2	TRUE	ferün	TRUE	FALSE
verb	1	FALSE	lol	FALSE	FALSE
verb	1	TRUE	mült	FALSE	FALSE
verb	2	FALSE	kátíz	TRUE	FALSE
verb	2	TRUE	vümült	TRUE	TRUE
verb	3	FALSE	míszfulmut	TRUE	TRUE
verb	3	TRUE	pövíjtöt	TRUE	TRUE
noun	2	FALSE	mitav	TRUE	TRUE
noun	2	TRUE	döteg	FALSE	TRUE
verb	1	FALSE	púk	FALSE	FALSE
verb	2	FALSE	fábíl	TRUE	FALSE
verb	2	TRUE	venvíl	TRUE	TRUE
verb	3	FALSE	fígyusak	TRUE	TRUE
verb	3	TRUE	tígetüg	TRUE	TRUE
noun	2	FALSE	toltiny	TRUE	TRUE
noun	2	TRUE	szífük	TRUE	FALSE
verb	1	FALSE	rók	FALSE	FALSE
verb	2	FALSE	pógdal	TRUE	TRUE
verb	2	TRUE	keröt	FALSE	FALSE
verb	3	FALSE	vasuljal	TRUE	TRUE
verb	3	TRUE	tövisel	FALSE	TRUE
noun	2	FALSE	moszil	TRUE	TRUE
noun	2	TRUE	letön	TRUE	TRUE
verb	1	FALSE	pajt	FALSE	FALSE
verb	1	TRUE	mét	FALSE	FALSE
verb	2	FALSE	rászor	TRUE	FALSE
verb	2	TRUE	kítül	FALSE	FALSE
verb	3	FALSE	pákujot	TRUE	TRUE
verb	3	TRUE	műszekiz	TRUE	TRUE
noun	2	FALSE	numil	TRUE	FALSE
noun	2	TRUE	pőlönt	TRUE	TRUE
verb	1	FALSE	kóg	FALSE	FALSE
verb	1	TRUE	jíg	FALSE	FALSE
verb	2	FALSE	tablíz	TRUE	TRUE
verb	2	TRUE	dűmlit	TRUE	TRUE
verb	3	FALSE	szósafut	TRUE	TRUE
verb	3	TRUE	relimén	TRUE	TRUE
noun	2	FALSE	kógylat	TRUE	TRUE
noun	2	TRUE	nelend	TRUE	TRUE
verb	1	FALSE	bol	FALSE	FALSE
verb	2	FALSE	tabal	TRUE	FALSE
verb	2	TRUE	vőrel	TRUE	FALSE
verb	3	FALSE	szábupúl	TRUE	TRUE
verb	3	TRUE	beltöpít	TRUE	TRUE
noun	2	FALSE	bászar	TRUE	TRUE
noun	2	TRUE	tőbíg	TRUE	TRUE
verb	1	FALSE	kíl	FALSE	FALSE
verb	1	TRUE	vől	FALSE	FALSE
verb	2	FALSE	szudíd	TRUE	FALSE
verb	2	TRUE	rögtök	FALSE	TRUE
verb	3	FALSE	szúdodík	TRUE	TRUE
verb	3	TRUE	fédülít	TRUE	TRUE
noun	2	FALSE	kutup	TRUE	FALSE
noun	2	TRUE	möböt	TRUE	FALSE
verb	1	FALSE	fíl	FALSE	FALSE
verb	1	TRUE	pit	FALSE	FALSE
verb	2	FALSE	gívul	TRUE	TRUE
verb	2	TRUE	délek	FALSE	FALSE
verb	3	FALSE	másozíg	TRUE	TRUE
verb	3	TRUE	mösztísők	TRUE	TRUE
noun	2	FALSE	vulszun	TRUE	TRUE
noun	2	TRUE	sűlel	TRUE	FALSE
verb	1	TRUE	rök	FALSE	FALSE
verb	2	FALSE	rúzat	FALSE	TRUE
verb	2	TRUE	bepük	TRUE	TRUE
verb	3	FALSE	kónyoszak	TRUE	TRUE
verb	3	TRUE	rebütöt	TRUE	TRUE
noun	2	FALSE	kújul	FALSE	FALSE
noun	2	TRUE	lémek	FALSE	FALSE
verb	1	FALSE	kúj	FALSE	FALSE
verb	2	FALSE	tájan	FALSE	FALSE
verb	2	TRUE	jedez	FALSE	FALSE
verb	3	FALSE	lostírunt	TRUE	TRUE
verb	3	TRUE	fílerit	TRUE	TRUE
noun	2	FALSE	rulang	TRUE	TRUE
noun	2	TRUE	vösmöt	TRUE	TRUE
verb	1	FALSE	tuz	FALSE	FALSE
verb	2	FALSE	fubuk	FALSE	FALSE
verb	2	TRUE	rűkün	TRUE	FALSE
verb	3	FALSE	szovozdul	TRUE	TRUE
verb	3	TRUE	szésztörtík	TRUE	TRUE
noun	2	FALSE	rajígy	TRUE	TRUE
noun	2	TRUE	kürleg	TRUE	TRUE
verb	1	FALSE	tún	FALSE	FALSE
verb	1	TRUE	vüz	FALSE	FALSE
verb	2	FALSE	vólíl	TRUE	FALSE
verb	2	TRUE	bemlök	TRUE	FALSE
verb	3	FALSE	maragik	TRUE	TRUE
verb	3	TRUE	készösel	TRUE	FALSE
noun	2	FALSE	kuraz	FALSE	FALSE
noun	2	TRUE	tetin	FALSE	FALSE
verb	1	FALSE	mok	FALSE	FALSE
verb	1	TRUE	küz	FALSE	FALSE
verb	2	FALSE	níbing	TRUE	TRUE
verb	2	TRUE	képöl	FALSE	FALSE
verb	3	FALSE	dutunyók	TRUE	TRUE
verb	3	TRUE	küglöszíl	TRUE	TRUE
noun	2	FALSE	vazron	TRUE	TRUE
noun	2	TRUE	kőmít	TRUE	FALSE
verb	1	TRUE	díl	FALSE	FALSE
verb	2	FALSE	búvoz	TRUE	FALSE
verb	2	TRUE	tírüt	TRUE	FALSE
verb	3	FALSE	kófotúng	TRUE	TRUE
verb	3	TRUE	jéregyöl	TRUE	TRUE
noun	2	FALSE	nózap	TRUE	TRUE
noun	2	TRUE	febül	FALSE	FALSE
verb	1	FALSE	plóng	TRUE	TRUE
verb	1	TRUE	güg	FALSE	FALSE
verb	2	FALSE	tofogy	TRUE	FALSE
verb	2	TRUE	ferüt	TRUE	FALSE
verb	3	FALSE	nufantat	TRUE	TRUE
verb	3	TRUE	dőtyütűt	TRUE	TRUE
noun	2	FALSE	puntiny	TRUE	TRUE
noun	2	TRUE	tűlid	TRUE	FALSE
verb	1	FALSE	raz	FALSE	FALSE
verb	1	TRUE	vők	FALSE	FALSE
verb	2	FALSE	pímal	TRUE	FALSE
verb	2	TRUE	möbeng	TRUE	TRUE
verb	3	FALSE	fánzífol	TRUE	TRUE
verb	3	TRUE	röjipríl	TRUE	TRUE
noun	2	FALSE	tójom	TRUE	FALSE
noun	2	TRUE	jübög	TRUE	TRUE
verb	1	FALSE	kuk	FALSE	FALSE
verb	1	TRUE	kük	FALSE	FALSE
verb	2	FALSE	bútong	FALSE	FALSE
verb	2	TRUE	fölüng	TRUE	TRUE
verb	3	FALSE	tónamol	TRUE	TRUE
verb	3	TRUE	lívebrek	TRUE	TRUE
noun	2	FALSE	kárfurd	TRUE	TRUE
noun	2	TRUE	kégir	TRUE	FALSE
verb	1	FALSE	dak	FALSE	FALSE
verb	1	TRUE	kől	FALSE	FALSE
verb	2	FALSE	túrag	FALSE	FALSE
verb	2	TRUE	kekül	FALSE	FALSE
verb	3	FALSE	gúpival	TRUE	TRUE
verb	3	TRUE	bösztesöt	TRUE	TRUE
noun	2	FALSE	vodzsot	TRUE	TRUE
noun	2	TRUE	sötrüt	TRUE	FALSE
verb	1	FALSE	szoz	FALSE	FALSE
verb	2	FALSE	vandit	TRUE	FALSE
verb	2	TRUE	kébig	TRUE	TRUE
verb	3	FALSE	kuskotok	TRUE	TRUE
verb	3	TRUE	sűbüslűl	TRUE	TRUE
noun	2	FALSE	szítir	TRUE	FALSE
noun	2	TRUE	mitröt	TRUE	TRUE
verb	1	FALSE	dul	FALSE	FALSE
verb	1	TRUE	diz	FALSE	FALSE
verb	2	FALSE	duszíl	TRUE	FALSE
verb	2	TRUE	timüd	TRUE	TRUE
verb	3	FALSE	tómopóp	TRUE	TRUE
verb	3	TRUE	fénifül	TRUE	TRUE
noun	2	FALSE	minszid	TRUE	FALSE
noun	2	TRUE	tűrnün	TRUE	TRUE
verb	1	FALSE	jal	FALSE	FALSE
verb	1	TRUE	fil	FALSE	FALSE
verb	2	FALSE	pólkak	TRUE	TRUE
verb	2	TRUE	rírül	TRUE	FALSE
verb	3	FALSE	súrarít	TRUE	TRUE
verb	3	TRUE	vüpönüz	TRUE	TRUE
noun	2	FALSE	vónyuk	TRUE	FALSE
noun	2	TRUE	vűzez	FALSE	FALSE
verb	1	FALSE	sók	FALSE	FALSE
verb	1	TRUE	lüg	FALSE	FALSE
verb	2	FALSE	fobunt	TRUE	TRUE
verb	2	TRUE	fömíl	TRUE	FALSE
verb	3	FALSE	kadotak	TRUE	TRUE
verb	3	TRUE	livimvök	TRUE	TRUE
noun	2	FALSE	fonud	TRUE	FALSE
noun	2	TRUE	küdöl	TRUE	FALSE
verb	1	FALSE	nol	FALSE	FALSE
verb	1	TRUE	bíl	FALSE	FALSE
verb	2	FALSE	vások	FALSE	FALSE
verb	2	TRUE	kekil	FALSE	FALSE
verb	3	FALSE	fívilun	TRUE	TRUE
verb	3	TRUE	röbrökönt	TRUE	TRUE
noun	2	FALSE	bímul	FALSE	FALSE
noun	2	TRUE	kőrigy	TRUE	TRUE
verb	1	FALSE	lok	FALSE	FALSE
verb	1	TRUE	püz	FALSE	FALSE
verb	2	FALSE	láktik	TRUE	TRUE
verb	2	TRUE	küpeg	TRUE	FALSE
verb	3	FALSE	vaturol	TRUE	TRUE
verb	3	TRUE	pübdörtyűd	TRUE	TRUE
noun	2	FALSE	taszup	TRUE	FALSE
noun	2	TRUE	nemöny	TRUE	TRUE
verb	1	FALSE	jag	FALSE	FALSE
verb	1	TRUE	def	FALSE	FALSE
verb	2	FALSE	júpil	TRUE	FALSE
verb	2	TRUE	mőstrüt	TRUE	TRUE
verb	3	FALSE	rírmudul	TRUE	TRUE
verb	3	TRUE	kűpekög	TRUE	FALSE
noun	2	FALSE	mapun	TRUE	FALSE
noun	2	TRUE	zözet	TRUE	TRUE
verb	1	FALSE	lit	FALSE	FALSE
verb	1	TRUE	tűg	FALSE	FALSE
verb	2	FALSE	pudot	TRUE	FALSE
verb	2	TRUE	vöpíl	TRUE	FALSE
verb	3	FALSE	káturjok	TRUE	TRUE
verb	3	TRUE	bőntürköl	TRUE	TRUE
noun	2	FALSE	tájat	FALSE	FALSE
noun	2	TRUE	kiker	FALSE	FALSE
verb	1	TRUE	pük	FALSE	FALSE
verb	2	FALSE	fótok	FALSE	FALSE
verb	2	TRUE	tébek	TRUE	FALSE
verb	3	FALSE	fútovojt	TRUE	TRUE
verb	3	TRUE	rérgüjőz	TRUE	TRUE
noun	2	FALSE	fúnond	FALSE	TRUE
verb	2	FALSE	ronuk	TRUE	FALSE
verb	2	TRUE	förvík	TRUE	FALSE
verb	3	FALSE	raztamol	TRUE	TRUE
verb	3	TRUE	fündílül	TRUE	TRUE
noun	2	FALSE	pulmík	TRUE	TRUE
noun	2	TRUE	möpet	FALSE	FALSE
verb	1	FALSE	dut	FALSE	FALSE
verb	1	TRUE	zöl	FALSE	FALSE
verb	2	FALSE	márak	FALSE	FALSE
verb	2	TRUE	kődöl	TRUE	FALSE
verb	3	FALSE	szúfolkil	TRUE	TRUE
verb	3	TRUE	vütídrölt	TRUE	TRUE
noun	2	FALSE	bómok	TRUE	FALSE
noun	2	TRUE	fökür	TRUE	FALSE
verb	1	FALSE	síz	FALSE	FALSE
verb	2	FALSE	viszít	FALSE	FALSE
verb	2	TRUE	deszüz	TRUE	TRUE
verb	3	FALSE	vótalkir	TRUE	TRUE
verb	3	TRUE	kédelél	TRUE	TRUE
noun	2	FALSE	bifon	FALSE	FALSE
noun	2	TRUE	vídüz	TRUE	FALSE
verb	1	FALSE	prót	FALSE	FALSE
verb	1	TRUE	küg	TRUE	FALSE
verb	2	FALSE	kobal	FALSE	FALSE
verb	2	TRUE	mézsüt	TRUE	TRUE
verb	3	FALSE	szakuvát	TRUE	TRUE
verb	3	TRUE	söteműng	TRUE	TRUE
noun	2	FALSE	tugnud	TRUE	TRUE
noun	2	TRUE	pűret	FALSE	FALSE
verb	1	FALSE	súk	FALSE	FALSE
verb	1	TRUE	kid	FALSE	FALSE
verb	2	FALSE	tándol	FALSE	FALSE
verb	2	TRUE	küdek	TRUE	FALSE
verb	3	FALSE	káfímoz	TRUE	TRUE
verb	3	TRUE	möszület	TRUE	TRUE
noun	2	FALSE	nútugy	TRUE	TRUE
noun	2	TRUE	fegnüt	TRUE	FALSE
verb	1	FALSE	tút	FALSE	FALSE
verb	2	FALSE	tarok	FALSE	FALSE
verb	2	TRUE	kinvök	TRUE	TRUE
verb	3	FALSE	farbiruk	TRUE	TRUE
verb	3	TRUE	betöböl	TRUE	TRUE
noun	2	FALSE	mokot	TRUE	FALSE
noun	2	TRUE	tűsed	TRUE	FALSE
verb	1	TRUE	nűt	FALSE	FALSE
verb	2	FALSE	pilut	TRUE	FALSE
verb	2	TRUE	jővöl	TRUE	FALSE
verb	3	FALSE	kúliput	TRUE	TRUE
verb	3	TRUE	vűmövel	TRUE	TRUE
noun	2	FALSE	mokun	TRUE	FALSE
noun	2	TRUE	kükíg	TRUE	FALSE
verb	1	FALSE	pot	FALSE	FALSE
verb	1	TRUE	nir	FALSE	FALSE
verb	2	FALSE	bunyal	FALSE	TRUE
verb	2	TRUE	pertít	FALSE	TRUE
verb	3	FALSE	fíbízagy	TRUE	TRUE
verb	3	TRUE	sűtözügy	TRUE	TRUE
noun	2	FALSE	botur	FALSE	FALSE
noun	2	TRUE	dévörv	TRUE	TRUE
verb	1	FALSE	najt	FALSE	FALSE
verb	1	TRUE	til	FALSE	FALSE
verb	2	FALSE	magyan	FALSE	FALSE
verb	2	TRUE	dínspel	TRUE	TRUE
verb	3	FALSE	gókotyil	TRUE	TRUE
verb	3	TRUE	dörnyüszűk	TRUE	TRUE
noun	2	FALSE	tátont	FALSE	FALSE
noun	2	TRUE	neszöny	TRUE	TRUE
verb	1	FALSE	puz	FALSE	FALSE
verb	1	TRUE	tüng	FALSE	FALSE
verb	2	FALSE	kirbak	TRUE	TRUE
verb	2	TRUE	vővez	TRUE	FALSE
verb	3	FALSE	tósaraz	TRUE	TRUE
