onset	v	c1c2	tr	word	target	keep_enough_distance	keep_no_overlap
j	e	tß	jetßik	jetszik	jetß	FALSE	TRUE
r	ü	sd	rüsdik	rüsdik	rüsd	TRUE	TRUE
p	ö	tl	pötlik	pötlik	pötl	TRUE	TRUE
b	ö	lß	bölßik	bölszik	bölß	TRUE	TRUE
f	ü	rl	fürlik	fürlik	fürl	FALSE	TRUE
v	a	rl	varlik	varlik	varl	TRUE	TRUE
h	o	tl	hotlik	hotlik	hotl	FALSE	TRUE
t	í	ßl	tíßlik	tíszlik	tíßl	FALSE	TRUE
d	a	gr	dagrik	dagrik	dagr	TRUE	TRUE
ß	u	gß	ßugßik	szugszik	ßugß	FALSE	TRUE
d	ű	gz	dűgzik	dűgzik	dűgz	TRUE	TRUE
s	u	gl	suglik	suglik	sugl	TRUE	TRUE
¥	u	ll	¥ullik	nyullik	¥ull	FALSE	TRUE
¥	ű	zz	¥űzzik	nyűzzik	¥űzz	TRUE	TRUE
h	ö	jz	höjzik	höjzik	höjz	TRUE	TRUE
h	a	dl	hadlik	hadlik	hadl	FALSE	FALSE
f	á	sl	fáslik	fáslik	fásl	FALSE	TRUE
d	ü	zl	düzlik	düzlik	düzl	TRUE	TRUE
d	o	zz	dozzik	dozzik	dozz	TRUE	TRUE
l	í	sl	líslik	líslik	lísl	TRUE	TRUE
t	o	¥l	to¥lik	tonylik	to¥l	TRUE	TRUE
l	ö	gl	löglik	löglik	lögl	FALSE	TRUE
z	i	rl	zirlik	zirlik	zirl	TRUE	TRUE
NA	á	tß	átßik	átszik	átß	FALSE	TRUE
l	ű	ßp	lűßpik	lűszpik	lűßp	TRUE	TRUE
t	ü	sl	tüslik	tüslik	tüsl	TRUE	TRUE
NA	i	ml	imlik	imlik	iml	FALSE	TRUE
l	ű	ßl	lűßlik	lűszlik	lűßl	TRUE	TRUE
z	u	ml	zumlik	zumlik	zuml	TRUE	TRUE
r	o	tß	rotßik	rotszik	rotß	TRUE	TRUE
d	a	ml	damlik	damlik	daml	TRUE	TRUE
b	í	zl	bízlik	bízlik	bízl	FALSE	TRUE
NA	u	gl	uglik	uglik	ugl	FALSE	TRUE
ç	ö	jl	çöjlik	csöjlik	çöjl	TRUE	TRUE
j	í	tl	jítlik	jítlik	jítl	TRUE	TRUE
NA	ű	ml	űmlik	űmlik	űml	FALSE	TRUE
j	o	kß	jokßik	jokszik	jokß	TRUE	TRUE
f	á	jl	fájlik	fájlik	fájl	FALSE	FALSE
m	u	rd	murdik	murdik	murd	TRUE	TRUE
k	ö	gl	köglik	köglik	kögl	FALSE	TRUE
NA	á	gz	ágzik	ágzik	ágz	FALSE	TRUE
r	i	gß	rigßik	rigszik	rigß	TRUE	TRUE
b	ű	gß	bűgßik	bűgszik	bűgß	TRUE	TRUE
¥	ö	ng	¥öngik	nyöngik	¥öng	TRUE	TRUE
¥	o	tß	¥otßik	nyotszik	¥otß	TRUE	TRUE
z	ü	jz	züjzik	züjzik	züjz	TRUE	TRUE
ç	ü	tl	çütlik	csütlik	çütl	FALSE	TRUE
ç	a	ml	çamlik	csamlik	çaml	TRUE	TRUE
m	ö	kl	möklik	möklik	mökl	TRUE	TRUE
NA	í	gr	ígrik	ígrik	ígr	FALSE	TRUE
r	ü	rd	rürdik	rürdik	rürd	FALSE	TRUE
k	a	ml	kamlik	kamlik	kaml	TRUE	TRUE
k	i	ml	kimlik	kimlik	kiml	TRUE	TRUE
d	ö	ßl	dößlik	döszlik	dößl	FALSE	TRUE
l	é	rd	lérdik	lérdik	lérd	TRUE	TRUE
b	ü	tl	bütlik	bütlik	bütl	FALSE	TRUE
ç	o	zl	çozlik	csozlik	çozl	TRUE	TRUE
z	ö	gl	zöglik	zöglik	zögl	FALSE	TRUE
v	o	zz	vozzik	vozzik	vozz	TRUE	TRUE
r	o	zl	rozlik	rozlik	rozl	FALSE	TRUE
l	o	gz	logzik	logzik	logz	FALSE	TRUE
v	ö	tß	vötßik	vötszik	vötß	TRUE	TRUE
m	a	gr	magrik	magrik	magr	FALSE	TRUE
ß	í	rl	ßírlik	szírlik	ßírl	FALSE	TRUE
¥	o	jl	¥ojlik	nyojlik	¥ojl	TRUE	TRUE
f	ű	gz	fűgzik	fűgzik	fűgz	FALSE	TRUE
ß	a	ml	ßamlik	szamlik	ßaml	FALSE	TRUE
v	ü	jl	vüjlik	vüjlik	vüjl	TRUE	TRUE
d	i	jl	dijlik	dijlik	dijl	TRUE	TRUE
v	í	jz	víjzik	víjzik	víjz	TRUE	TRUE
NA	ü	tl	ütlik	ütlik	ütl	TRUE	TRUE
m	e	dl	medlik	medlik	medl	FALSE	TRUE
z	ű	kß	zűkßik	zűkszik	zűkß	TRUE	TRUE
b	í	ng	bíngik	bíngik	bíng	TRUE	TRUE
f	ö	ml	fömlik	fömlik	föml	FALSE	TRUE
NA	í	tl	ítlik	ítlik	ítl	FALSE	TRUE
l	a	rl	larlik	larlik	larl	TRUE	TRUE
s	i	dl	sidlik	sidlik	sidl	FALSE	TRUE
h	í	gl	híglik	híglik	hígl	FALSE	TRUE
m	u	jl	mujlik	mujlik	mujl	TRUE	TRUE
NA	ű	dl	űdlik	űdlik	űdl	TRUE	TRUE
z	a	rz	zarzik	zarzik	zarz	TRUE	TRUE
h	o	jz	hojzik	hojzik	hojz	TRUE	TRUE
ç	o	ßp	çoßpik	csoszpik	çoßp	TRUE	TRUE
d	ü	ll	düllik	düllik	düll	FALSE	TRUE
¥	á	kl	¥áklik	nyáklik	¥ákl	FALSE	TRUE
h	á	ng	hángik	hángik	háng	TRUE	TRUE
t	ü	kl	tüklik	tüklik	tükl	TRUE	TRUE
¥	á	sd	¥ásdik	nyásdik	¥ásd	TRUE	TRUE
ç	e	jz	çejzik	csejzik	çejz	TRUE	TRUE
k	a	jl	kajlik	kajlik	kajl	FALSE	TRUE
¥	ű	bz	¥űbzik	nyűbzik	¥űbz	TRUE	TRUE
NA	á	zz	ázzik	ázzik	ázz	FALSE	TRUE
r	i	gr	rigrik	rigrik	rigr	TRUE	TRUE
b	ü	jz	büjzik	büjzik	büjz	TRUE	TRUE
m	i	ng	mingik	mingik	ming	FALSE	FALSE
z	é	bz	zébzik	zébzik	zébz	TRUE	TRUE
j	u	gß	jugßik	jugszik	jugß	FALSE	TRUE
¥	ű	ml	¥űmlik	nyűmlik	¥űml	TRUE	TRUE
ç	é	ll	çéllik	cséllik	çéll	TRUE	TRUE
j	ö	lß	jölßik	jölszik	jölß	TRUE	TRUE
z	ö	ml	zömlik	zömlik	zöml	FALSE	TRUE
p	u	jl	pujlik	pujlik	pujl	TRUE	TRUE
d	e	zz	dezzik	dezzik	dezz	TRUE	TRUE
s	i	gß	sigßik	sigszik	sigß	TRUE	TRUE
v	é	rl	vérlik	vérlik	vérl	FALSE	TRUE
s	i	ll	sillik	sillik	sill	FALSE	TRUE
p	í	rl	pírlik	pírlik	pírl	FALSE	TRUE
ß	á	¥l	ßá¥lik	szánylik	ßá¥l	TRUE	TRUE
r	u	tl	rutlik	rutlik	rutl	TRUE	TRUE
m	e	ßl	meßlik	meszlik	meßl	TRUE	TRUE
p	o	tl	potlik	potlik	potl	FALSE	TRUE
¥	e	gz	¥egzik	nyegzik	¥egz	TRUE	TRUE
t	á	rd	tárdik	tárdik	tárd	TRUE	TRUE
b	i	rl	birlik	birlik	birl	TRUE	TRUE
ç	ö	zz	çözzik	csözzik	çözz	TRUE	TRUE
m	ü	gr	mügrik	mügrik	mügr	TRUE	TRUE
d	ü	sd	düsdik	düsdik	düsd	TRUE	TRUE
ß	i	gz	ßigzik	szigzik	ßigz	TRUE	TRUE
¥	ö	zz	¥özzik	nyözzik	¥özz	TRUE	TRUE
k	a	sd	kasdik	kasdik	kasd	TRUE	TRUE
f	ű	ll	fűllik	fűllik	fűll	FALSE	TRUE
NA	i	gl	iglik	iglik	igl	FALSE	TRUE
h	é	ll	héllik	héllik	héll	FALSE	TRUE
k	e	ll	kellik	kellik	kell	FALSE	FALSE
ç	ű	ng	çűngik	csűngik	çűng	TRUE	TRUE
l	a	gr	lagrik	lagrik	lagr	TRUE	TRUE
k	ű	zl	kűzlik	kűzlik	kűzl	FALSE	TRUE
ç	a	gr	çagrik	csagrik	çagr	TRUE	TRUE
p	ö	ll	pöllik	pöllik	pöll	FALSE	TRUE
NA	i	ßp	ißpik	iszpik	ißp	FALSE	TRUE
m	o	rl	morlik	morlik	morl	FALSE	TRUE
¥	e	ng	¥engik	nyengik	¥eng	TRUE	TRUE
NA	a	gl	aglik	aglik	agl	FALSE	TRUE
k	ű	lß	kűlßik	kűlszik	kűlß	TRUE	TRUE
j	ö	rz	jörzik	jörzik	jörz	TRUE	TRUE
f	e	ng	fengik	fengik	feng	FALSE	TRUE
j	ü	gr	jügrik	jügrik	jügr	TRUE	TRUE
j	ö	sl	jöslik	jöslik	jösl	TRUE	TRUE
f	e	lß	felßik	felszik	felß	FALSE	TRUE
ß	í	sl	ßíslik	szíslik	ßísl	TRUE	TRUE
j	u	ng	jungik	jungik	jung	TRUE	TRUE
t	u	ßp	tußpik	tuszpik	tußp	TRUE	TRUE
¥	ű	ll	¥űllik	nyűllik	¥űll	TRUE	TRUE
k	e	ßp	keßpik	keszpik	keßp	TRUE	TRUE
b	í	jz	bíjzik	bíjzik	bíjz	FALSE	TRUE
t	e	ßl	teßlik	teszlik	teßl	FALSE	TRUE
¥	á	ßp	¥áßpik	nyászpik	¥áßp	TRUE	TRUE
m	ö	ng	möngik	möngik	möng	TRUE	TRUE
NA	a	kl	aklik	aklik	akl	FALSE	TRUE
j	í	rd	jírdik	jírdik	jírd	TRUE	TRUE
d	o	gz	dogzik	dogzik	dogz	FALSE	TRUE
f	e	sd	fesdik	fesdik	fesd	FALSE	FALSE
z	í	rd	zírdik	zírdik	zírd	TRUE	TRUE
p	á	rl	párlik	párlik	párl	FALSE	TRUE
r	o	gr	rogrik	rogrik	rogr	TRUE	TRUE
b	u	ml	bumlik	bumlik	buml	FALSE	TRUE
j	é	dl	jédlik	jédlik	jédl	TRUE	FALSE
h	u	dl	hudlik	hudlik	hudl	FALSE	TRUE
d	á	gl	dáglik	dáglik	dágl	FALSE	TRUE
t	é	tß	tétßik	tétszik	tétß	FALSE	TRUE
¥	é	jz	¥éjzik	nyéjzik	¥éjz	TRUE	TRUE
r	ö	lß	rölßik	rölszik	rölß	TRUE	TRUE
v	á	tl	vátlik	vátlik	vátl	FALSE	TRUE
b	ű	bz	bűbzik	bűbzik	bűbz	TRUE	TRUE
j	ű	sd	jűsdik	jűsdik	jűsd	TRUE	TRUE
z	í	sl	zíslik	zíslik	zísl	TRUE	TRUE
p	ü	ßp	püßpik	püszpik	püßp	TRUE	TRUE
l	ű	bz	lűbzik	lűbzik	lűbz	TRUE	TRUE
h	i	jz	hijzik	hijzik	hijz	TRUE	TRUE
k	i	ll	killik	killik	kill	FALSE	FALSE
m	i	¥l	mi¥lik	minylik	mi¥l	TRUE	TRUE
d	o	tl	dotlik	dotlik	dotl	FALSE	TRUE
k	o	zz	kozzik	kozzik	kozz	TRUE	TRUE
l	é	kl	léklik	léklik	lékl	FALSE	TRUE
r	ű	¥l	rű¥lik	rűnylik	rű¥l	TRUE	TRUE
ç	é	rd	çérdik	csérdik	çérd	TRUE	TRUE
r	ö	dl	rödlik	rödlik	rödl	FALSE	TRUE
h	o	gr	hogrik	hogrik	hogr	TRUE	TRUE
v	u	sl	vuslik	vuslik	vusl	TRUE	TRUE
ç	e	jl	çejlik	csejlik	çejl	FALSE	TRUE
j	ö	kß	jökßik	jökszik	jökß	TRUE	TRUE
m	é	dl	médlik	médlik	médl	TRUE	TRUE
ç	ü	tß	çütßik	csütszik	çütß	TRUE	TRUE
l	í	zz	lízzik	lízzik	lízz	TRUE	TRUE
ß	ö	gr	ßögrik	szögrik	ßögr	TRUE	TRUE
r	e	sl	reslik	reslik	resl	FALSE	TRUE
r	u	ßl	rußlik	ruszlik	rußl	FALSE	TRUE
ß	o	tß	ßotßik	szotszik	ßotß	TRUE	TRUE
p	u	¥l	pu¥lik	punylik	pu¥l	TRUE	TRUE
r	o	bz	robzik	robzik	robz	TRUE	TRUE
d	é	gl	déglik	déglik	dégl	FALSE	TRUE
h	o	bz	hobzik	hobzik	hobz	FALSE	TRUE
v	á	ml	vámlik	vámlik	váml	FALSE	TRUE
NA	ü	sl	üslik	üslik	üsl	TRUE	TRUE
h	u	kß	hukßik	hukszik	hukß	TRUE	TRUE
r	e	bz	rebzik	rebzik	rebz	TRUE	TRUE
f	ü	bz	fübzik	fübzik	fübz	TRUE	TRUE
ç	i	ßl	çißlik	csiszlik	çißl	TRUE	TRUE
r	ö	jl	röjlik	röjlik	röjl	FALSE	TRUE
l	í	bz	líbzik	líbzik	líbz	TRUE	TRUE
ß	o	gz	ßogzik	szogzik	ßogz	FALSE	TRUE
m	ü	tß	mütßik	mütszik	mütß	FALSE	TRUE
m	e	ng	mengik	mengik	meng	TRUE	TRUE
l	o	¥l	lo¥lik	lonylik	lo¥l	TRUE	TRUE
ß	ű	ßl	ßűßlik	szűszlik	ßűßl	TRUE	TRUE
j	o	sl	joslik	joslik	josl	TRUE	TRUE
j	i	rl	jirlik	jirlik	jirl	TRUE	TRUE
NA	e	ml	emlik	emlik	eml	FALSE	TRUE
¥	é	ll	¥éllik	nyéllik	¥éll	TRUE	TRUE
p	í	tl	pítlik	pítlik	pítl	TRUE	TRUE
z	í	jl	zíjlik	zíjlik	zíjl	FALSE	TRUE
NA	ű	ßp	űßpik	űszpik	űßp	FALSE	TRUE
h	e	rl	herlik	herlik	herl	FALSE	TRUE
s	i	tl	sitlik	sitlik	sitl	FALSE	TRUE
l	é	tl	létlik	létlik	létl	FALSE	TRUE
NA	ű	lß	űlßik	űlszik	űlß	FALSE	TRUE
f	á	¥l	fá¥lik	fánylik	fá¥l	FALSE	TRUE
r	á	ßl	ráßlik	rászlik	ráßl	TRUE	TRUE
p	ö	rd	pördik	pördik	pörd	TRUE	TRUE
j	ű	kß	jűkßik	jűkszik	jűkß	TRUE	TRUE
r	o	zz	rozzik	rozzik	rozz	TRUE	TRUE
k	u	dl	kudlik	kudlik	kudl	FALSE	TRUE
t	á	gz	tágzik	tágzik	tágz	TRUE	TRUE
m	o	zz	mozzik	mozzik	mozz	FALSE	TRUE
h	ö	sl	höslik	höslik	hösl	TRUE	TRUE
t	i	bz	tibzik	tibzik	tibz	TRUE	TRUE
m	e	ml	memlik	memlik	meml	TRUE	TRUE
ß	á	gr	ßágrik	szágrik	ßágr	TRUE	TRUE
s	é	bz	sébzik	sébzik	sébz	TRUE	TRUE
p	u	jz	pujzik	pujzik	pujz	TRUE	TRUE
ß	a	jz	ßajzik	szajzik	ßajz	FALSE	TRUE
m	ü	gß	mügßik	mügszik	mügß	TRUE	TRUE
f	ű	gß	fűgßik	fűgszik	fűgß	TRUE	TRUE
d	á	tß	dátßik	dátszik	dátß	FALSE	TRUE
s	ű	rd	sűrdik	sűrdik	sűrd	TRUE	TRUE
d	o	rl	dorlik	dorlik	dorl	FALSE	TRUE
m	u	rl	murlik	murlik	murl	TRUE	TRUE
k	ü	dl	küdlik	küdlik	küdl	FALSE	TRUE
ß	í	¥l	ßí¥lik	színylik	ßí¥l	FALSE	TRUE
z	é	jl	zéjlik	zéjlik	zéjl	FALSE	TRUE
z	ű	gß	zűgßik	zűgszik	zűgß	TRUE	TRUE
m	i	sd	misdik	misdik	misd	FALSE	TRUE
h	é	ßp	héßpik	hészpik	héßp	TRUE	TRUE
b	ű	gl	bűglik	bűglik	bűgl	FALSE	TRUE
f	ü	ßl	füßlik	füszlik	füßl	FALSE	TRUE
ç	ü	kß	çükßik	csükszik	çükß	TRUE	TRUE
r	i	gl	riglik	riglik	rigl	FALSE	TRUE
p	í	dl	pídlik	pídlik	pídl	TRUE	TRUE
f	a	rl	farlik	farlik	farl	TRUE	TRUE
h	ű	rz	hűrzik	hűrzik	hűrz	TRUE	TRUE
m	ü	ng	müngik	müngik	müng	TRUE	TRUE
f	a	¥l	fa¥lik	fanylik	fa¥l	FALSE	TRUE
v	ű	jz	vűjzik	vűjzik	vűjz	TRUE	TRUE
p	e	dl	pedlik	pedlik	pedl	FALSE	TRUE
¥	é	zl	¥ézlik	nyézlik	¥ézl	TRUE	TRUE
l	á	zz	lázzik	lázzik	lázz	TRUE	TRUE
l	e	kß	lekßik	lekszik	lekß	FALSE	TRUE
k	i	jl	kijlik	kijlik	kijl	TRUE	TRUE
p	é	zl	pézlik	pézlik	pézl	TRUE	TRUE
z	é	sd	zésdik	zésdik	zésd	TRUE	TRUE
h	ü	ßl	hüßlik	hüszlik	hüßl	TRUE	TRUE
k	o	ll	kollik	kollik	koll	FALSE	TRUE
p	a	gl	paglik	paglik	pagl	FALSE	TRUE
z	o	sl	zoslik	zoslik	zosl	TRUE	TRUE
r	e	ng	rengik	rengik	reng	TRUE	FALSE
f	í	ml	fímlik	fímlik	fíml	TRUE	TRUE
ç	ü	bz	çübzik	csübzik	çübz	TRUE	TRUE
NA	á	rd	árdik	árdik	árd	TRUE	TRUE
l	o	ml	lomlik	lomlik	loml	FALSE	TRUE
p	ű	jz	pűjzik	pűjzik	pűjz	TRUE	TRUE
¥	í	rl	¥írlik	nyírlik	¥írl	FALSE	TRUE
d	á	ng	dángik	dángik	dáng	TRUE	TRUE
ç	í	jl	çíjlik	csíjlik	çíjl	TRUE	TRUE
j	o	ßl	joßlik	joszlik	joßl	FALSE	TRUE
¥	ö	gz	¥ögzik	nyögzik	¥ögz	TRUE	TRUE
r	é	sd	résdik	résdik	résd	TRUE	TRUE
m	i	bz	mibzik	mibzik	mibz	TRUE	TRUE
l	ű	gz	lűgzik	lűgzik	lűgz	FALSE	TRUE
m	í	rl	mírlik	mírlik	mírl	FALSE	TRUE
s	e	dl	sedlik	sedlik	sedl	FALSE	FALSE
p	ű	rl	pűrlik	pűrlik	pűrl	FALSE	TRUE
NA	ű	kß	űkßik	űkszik	űkß	TRUE	TRUE
j	ü	jl	jüjlik	jüjlik	jüjl	TRUE	TRUE
v	á	¥l	vá¥lik	ványlik	vá¥l	FALSE	TRUE
v	i	dl	vidlik	vidlik	vidl	FALSE	TRUE
¥	i	sl	¥islik	nyislik	¥isl	TRUE	TRUE
b	e	gl	beglik	beglik	begl	TRUE	TRUE
k	é	zz	kézzik	kézzik	kézz	TRUE	TRUE
b	i	lß	bilßik	bilszik	bilß	TRUE	TRUE
NA	a	zz	azzik	azzik	azz	FALSE	TRUE
v	u	gr	vugrik	vugrik	vugr	FALSE	TRUE
s	e	tl	setlik	setlik	setl	FALSE	TRUE
v	u	gß	vugßik	vugszik	vugß	FALSE	TRUE
t	á	sd	tásdik	tásdik	tásd	TRUE	TRUE
¥	é	sd	¥ésdik	nyésdik	¥ésd	TRUE	TRUE
f	ö	lß	fölßik	fölszik	fölß	TRUE	TRUE
f	í	gß	fígßik	fígszik	fígß	TRUE	TRUE
s	í	gz	sígzik	sígzik	sígz	FALSE	TRUE
¥	ű	kl	¥űklik	nyűklik	¥űkl	FALSE	TRUE
r	á	zz	rázzik	rázzik	rázz	TRUE	TRUE
l	é	rl	lérlik	lérlik	lérl	TRUE	TRUE
ß	o	rd	ßordik	szordik	ßord	FALSE	TRUE
s	ü	gl	süglik	süglik	sügl	TRUE	TRUE
¥	ü	kß	¥ükßik	nyükszik	¥ükß	TRUE	TRUE
r	o	rd	rordik	rordik	rord	FALSE	TRUE
m	u	ml	mumlik	mumlik	muml	TRUE	TRUE
l	a	kl	laklik	laklik	lakl	FALSE	TRUE
v	i	¥l	vi¥lik	vinylik	vi¥l	TRUE	TRUE
l	í	gß	lígßik	lígszik	lígß	TRUE	TRUE
r	a	zz	razzik	razzik	razz	FALSE	TRUE
p	é	¥l	pé¥lik	pénylik	pé¥l	FALSE	TRUE
t	a	sd	tasdik	tasdik	tasd	TRUE	TRUE
m	é	ll	méllik	méllik	méll	FALSE	TRUE
¥	e	ml	¥emlik	nyemlik	¥eml	TRUE	TRUE
r	a	kl	raklik	raklik	rakl	FALSE	TRUE
z	ö	ßl	zößlik	zöszlik	zößl	TRUE	TRUE
ç	ö	lß	çölßik	csölszik	çölß	TRUE	TRUE
j	u	rl	jurlik	jurlik	jurl	TRUE	TRUE
¥	é	kl	¥éklik	nyéklik	¥ékl	FALSE	TRUE
v	ü	tl	vütlik	vütlik	vütl	TRUE	TRUE
j	ű	¥l	jű¥lik	jűnylik	jű¥l	TRUE	TRUE
ß	é	kß	ßékßik	székszik	ßékß	TRUE	TRUE
j	o	jl	jojlik	jojlik	jojl	TRUE	TRUE
ß	ö	kl	ßöklik	szöklik	ßökl	FALSE	TRUE
ç	ü	ml	çümlik	csümlik	çüml	TRUE	TRUE
b	ü	jl	büjlik	büjlik	büjl	TRUE	TRUE
j	o	gß	jogßik	jogszik	jogß	TRUE	TRUE
p	o	lß	polßik	polszik	polß	TRUE	TRUE
d	ö	sd	dösdik	dösdik	dösd	TRUE	TRUE
s	u	rd	surdik	surdik	surd	FALSE	TRUE
ß	o	jz	ßojzik	szojzik	ßojz	TRUE	TRUE
m	o	¥l	mo¥lik	monylik	mo¥l	TRUE	TRUE
b	a	tl	batlik	batlik	batl	FALSE	TRUE
ç	i	sl	çislik	csislik	çisl	TRUE	TRUE
j	á	gl	jáglik	jáglik	jágl	TRUE	TRUE
¥	i	ng	¥ingik	nyingik	¥ing	FALSE	TRUE
b	i	ll	billik	billik	bill	FALSE	TRUE
j	ü	ml	jümlik	jümlik	jüml	TRUE	TRUE
j	e	sd	jesdik	jesdik	jesd	TRUE	TRUE
f	u	gß	fugßik	fugszik	fugß	FALSE	TRUE
b	i	gz	bigzik	bigzik	bigz	FALSE	TRUE
¥	ü	jl	¥üjlik	nyüjlik	¥üjl	TRUE	TRUE
ç	ö	ll	çöllik	csöllik	çöll	TRUE	TRUE
m	í	gr	mígrik	mígrik	mígr	TRUE	TRUE
¥	ű	ng	¥űngik	nyűngik	¥űng	TRUE	TRUE
NA	ö	tß	ötßik	ötszik	ötß	TRUE	TRUE
f	é	ml	fémlik	fémlik	féml	FALSE	TRUE
t	a	dl	tadlik	tadlik	tadl	TRUE	TRUE
v	o	dl	vodlik	vodlik	vodl	FALSE	TRUE
l	ö	gz	lögzik	lögzik	lögz	FALSE	TRUE
p	ü	gz	pügzik	pügzik	pügz	TRUE	TRUE
v	ü	lß	vülßik	vülszik	vülß	TRUE	TRUE
l	ű	tß	lűtßik	lűtszik	lűtß	FALSE	TRUE
p	ö	ml	pömlik	pömlik	pöml	FALSE	TRUE
d	é	rl	dérlik	dérlik	dérl	TRUE	TRUE
d	ű	ßp	dűßpik	dűszpik	dűßp	TRUE	TRUE
m	é	bz	mébzik	mébzik	mébz	TRUE	TRUE
p	i	tß	pitßik	pitszik	pitß	TRUE	TRUE
v	ü	ll	vüllik	vüllik	vüll	FALSE	TRUE
b	a	jz	bajzik	bajzik	bajz	FALSE	FALSE
NA	á	¥l	á¥lik	ánylik	á¥l	TRUE	TRUE
v	a	tl	vatlik	vatlik	vatl	TRUE	TRUE
NA	á	sl	áslik	áslik	ásl	TRUE	TRUE
j	ö	dl	jödlik	jödlik	jödl	FALSE	TRUE
¥	u	ßp	¥ußpik	nyuszpik	¥ußp	TRUE	TRUE
ß	é	sd	ßésdik	szésdik	ßésd	TRUE	TRUE
l	a	zz	lazzik	lazzik	lazz	TRUE	TRUE
ç	í	gr	çígrik	csígrik	çígr	TRUE	TRUE
t	á	gl	táglik	táglik	tágl	TRUE	TRUE
ß	u	sd	ßusdik	szusdik	ßusd	TRUE	TRUE
ß	e	ll	ßellik	szellik	ßell	FALSE	TRUE
j	ű	jz	jűjzik	jűjzik	jűjz	TRUE	TRUE
NA	ü	kß	ükßik	ükszik	ükß	TRUE	TRUE
b	i	ng	bingik	bingik	bing	FALSE	TRUE
ß	í	zl	ßízlik	szízlik	ßízl	FALSE	TRUE
m	ü	gz	mügzik	mügzik	mügz	FALSE	TRUE
d	o	tß	dotßik	dotszik	dotß	TRUE	TRUE
ß	e	gß	ßegßik	szegszik	ßegß	TRUE	TRUE
k	é	jl	kéjlik	kéjlik	kéjl	FALSE	TRUE
r	ö	¥l	rö¥lik	rönylik	rö¥l	TRUE	TRUE
ç	á	tl	çátlik	csátlik	çátl	FALSE	TRUE
NA	í	gl	íglik	íglik	ígl	FALSE	TRUE
