base	base_tr	variation	type	variant1	variant2	resp1	resp2	log_odds	derivational	nsyl	vowel	suffix	carrier_sentence	target_sentence	cat1_weight	baseline_gcm_info
huroslik	huroslik	lakok/lakom	nonce word response	huroslok	huroslom	22	7	1.0560526742493137	-lik	2	NA	NA	Te bizony sokat huroslasz.	Én is sokat...	0.5784637192339162	q: thirty, s: 0.9, r: 0.5
ibáglik	ibáglik	lakok/lakom	nonce word response	ibáglok	ibáglom	18	9	0.6418538861723947	-lik	2	NA	NA	Te bizony sokat ibáglasz.	Én is sokat...	0.4937061816110235	q: thirty, s: 0.9, r: 0.5
ibékszik	ibékßik	lakok/lakom	nonce word response	ibékszek	ibékszem	10	16	-0.4353180712578455	-szik	2	NA	NA	Te bizony sokat ibékszel.	Én is sokat...	0.40371185426715417	q: thirty, s: 0.9, r: 0.5
jonylik	jo¥lik	lakok/lakom	nonce word response	jonylok	jonylom	21	8	0.8938178760220965	-lik	1	NA	NA	Te bizony sokat jonylasz.	Én is sokat...	0.5904042721984248	q: thirty, s: 0.9, r: 0.5
jüslik	jüslik	lakok/lakom	nonce word response	jüslök	jüslöm	20	7	0.965080896043587	-lik	1	NA	NA	Te bizony sokat jüslesz.	Én is sokat...	0.5888709549075136	q: thirty, s: 0.9, r: 0.5
juszlik	jußlik	lakok/lakom	nonce word response	juszlok	juszlom	18	11	0.4595323293784402	-lik	1	NA	NA	Te bizony sokat juszlasz.	Én is sokat...	0.6158693439338677	q: thirty, s: 0.9, r: 0.5
klaráglik	klaráglik	lakok/lakom	nonce word response	klaráglok	klaráglom	20	7	0.965080896043587	-lik	2	NA	NA	Te bizony sokat klaráglasz.	Én is sokat...	0.514823653509375	q: thirty, s: 0.9, r: 0.5
klárzik	klárzik	lakok/lakom	nonce word response	klárzok	klárzom	13	13	0	-zik	1	NA	NA	Te bizony sokat klárzol.	Én is sokat...	0.5369837582206182	q: thirty, s: 0.9, r: 0.5
klétszik	klétßik	lakok/lakom	nonce word response	klétszek	klétszem	11	15	-0.2876820724517809	-szik	1	NA	NA	Te bizony sokat klétszel.	Én is sokat...	0.38596001003467867	q: thirty, s: 0.9, r: 0.5
klibamlik	klibamlik	lakok/lakom	nonce word response	klibamlok	klibamlom	16	10	0.4353180712578455	-lik	2	NA	NA	Te bizony sokat klibamlasz.	Én is sokat...	0.5509869631010949	q: thirty, s: 0.9, r: 0.5
klidlik	klidlik	lakok/lakom	nonce word response	klidlok	klidlom	21	8	0.8938178760220965	-lik	1	NA	NA	Te bizony sokat klidlasz.	Én is sokat...	0.5802496162642746	q: thirty, s: 0.9, r: 0.5
klivaslik	klivaslik	lakok/lakom	nonce word response	klivaslok	klivaslom	19	7	0.9162907318741552	-lik	2	NA	NA	Te bizony sokat klivaslasz.	Én is sokat...	0.5660210900281959	q: thirty, s: 0.9, r: 0.5
klörlik	klörlik	lakok/lakom	nonce word response	klörlök	klörlöm	18	9	0.6418538861723947	-lik	1	NA	NA	Te bizony sokat klörlesz.	Én is sokat...	0.5518939738874131	q: thirty, s: 0.9, r: 0.5
kumlik	kumlik	lakok/lakom	nonce word response	kumlok	kumlom	25	4	1.6486586255873816	-lik	1	NA	NA	Te bizony sokat kumlasz.	Én is sokat...	0.6081079881972336	q: thirty, s: 0.9, r: 0.5
lihadzik	lihadzik	lakok/lakom	nonce word response	lihadzok	lihadzom	16	13	0.1941560144409574	-zik	2	NA	NA	Te bizony sokat lihadzol.	Én is sokat...	0.5184348152223581	q: thirty, s: 0.9, r: 0.5
livaklik	livaklik	lakok/lakom	nonce word response	livaklok	livaklom	7	20	-0.9650808960435872	-lik	2	NA	NA	Te bizony sokat livaklasz.	Én is sokat...	0.42065507072365454	q: thirty, s: 0.9, r: 0.5
lorjódzik	lorjódzik	lakok/lakom	nonce word response	lorjódzok	lorjódzom	13	16	-0.1941560144409575	-zik	2	NA	NA	Te bizony sokat lorjódzol.	Én is sokat...	0.5191082013393498	q: thirty, s: 0.9, r: 0.5
lörűdzik	lörűdzik	lakok/lakom	nonce word response	lörűdzök	lörűdzöm	12	15	-0.2076393647782445	-zik	2	NA	NA	Te bizony sokat lörűdzöl.	Én is sokat...	0.5157067280296594	q: thirty, s: 0.9, r: 0.5
málapszik	málapßik	lakok/lakom	nonce word response	málapszok	málapszom	13	14	-0.06899287148695143	-szik	2	NA	NA	Te bizony sokat málapszol.	Én is sokat...	0.3749071961890436	q: thirty, s: 0.9, r: 0.5
marzik	marzik	lakok/lakom	nonce word response	marzok	marzom	19	8	0.7985076962177716	-zik	1	NA	NA	Te bizony sokat marzol.	Én is sokat...	0.5941111502573353	q: thirty, s: 0.9, r: 0.5
mékszik	mékßik	lakok/lakom	nonce word response	mékszek	mékszem	12	14	-0.1431008436406733	-szik	1	NA	NA	Te bizony sokat mékszel.	Én is sokat...	0.4683607083675979	q: thirty, s: 0.9, r: 0.5
narádzik	narádzik	lakok/lakom	nonce word response	narádzok	narádzom	9	18	-0.6418538861723948	-zik	2	NA	NA	Te bizony sokat narádzol.	Én is sokat...	0.5481799616728322	q: thirty, s: 0.9, r: 0.5
narjárzik	narjárzik	lakok/lakom	nonce word response	narjárzok	narjárzom	13	13	0	-zik	2	NA	NA	Te bizony sokat narjárzol.	Én is sokat...	0.5661222933029422	q: thirty, s: 0.9, r: 0.5
nűröklik	nűröklik	lakok/lakom	nonce word response	nűröklök	nűröklöm	13	16	-0.1941560144409575	-lik	2	NA	NA	Te bizony sokat nűröklesz.	Én is sokat...	0.4842343438576456	q: thirty, s: 0.9, r: 0.5
nyáslik	¥áslik	lakok/lakom	nonce word response	nyáslok	nyáslom	17	9	0.5877866649021191	-lik	1	NA	NA	Te bizony sokat nyáslasz.	Én is sokat...	0.5371091692627377	q: thirty, s: 0.9, r: 0.5
pebzik	pebzik	lakok/lakom	nonce word response	pebzek	pebzem	17	10	0.49247648509779424	-zik	1	NA	NA	Te bizony sokat pebzel.	Én is sokat...	0.6064226273802834	q: thirty, s: 0.9, r: 0.5
péleslik	péleslik	lakok/lakom	nonce word response	péleslek	péleslem	20	9	0.7419373447293773	-lik	2	NA	NA	Te bizony sokat péleslesz.	Én is sokat...	0.5833196012745269	q: thirty, s: 0.9, r: 0.5
píjlik	píjlik	lakok/lakom	nonce word response	píjlok	píjlom	18	9	0.6418538861723947	-lik	1	NA	NA	Te bizony sokat píjlasz.	Én is sokat...	0.5970595844864396	q: thirty, s: 0.9, r: 0.5
piragszik	piragßik	lakok/lakom	nonce word response	piragszok	piragszom	9	17	-0.587786664902119	-szik	2	NA	NA	Te bizony sokat piragszol.	Én is sokat...	0.37010477360468	q: thirty, s: 0.9, r: 0.5
pítszik	pítßik	lakok/lakom	nonce word response	pítszok	pítszom	10	17	-0.49247648509779407	-szik	1	NA	NA	Te bizony sokat pítszol.	Én is sokat...	0.46269974279348247	q: thirty, s: 0.9, r: 0.5
pivegszik	pivegßik	lakok/lakom	nonce word response	pivegszek	pivegszem	8	21	-0.8938178760220964	-szik	2	NA	NA	Te bizony sokat pivegszel.	Én is sokat...	0.42861115487819595	q: thirty, s: 0.9, r: 0.5
plágadzik	plágadzik	lakok/lakom	nonce word response	plágadzok	plágadzom	10	16	-0.4353180712578455	-zik	2	NA	NA	Te bizony sokat plágadzol.	Én is sokat...	0.4822263340207172	q: thirty, s: 0.9, r: 0.5
plövőrzik	plövőrzik	lakok/lakom	nonce word response	plövőrzök	plövőrzöm	14	13	0.06899287148695142	-zik	2	NA	NA	Te bizony sokat plövőrzöl.	Én is sokat...	0.5622269255682798	q: thirty, s: 0.9, r: 0.5
plűbzik	plűbzik	lakok/lakom	nonce word response	plűbzök	plűbzöm	17	10	0.49247648509779424	-zik	1	NA	NA	Te bizony sokat plűbzöl.	Én is sokat...	0.5557139053547387	q: thirty, s: 0.9, r: 0.5
plugzik	plugzik	lakok/lakom	nonce word response	plugzok	plugzom	12	17	-0.325422400434628	-zik	1	NA	NA	Te bizony sokat plugzol.	Én is sokat...	0.5255089996028319	q: thirty, s: 0.9, r: 0.5
praslik	praslik	lakok/lakom	nonce word response	praslok	praslom	24	5	1.4271163556401458	-lik	1	NA	NA	Te bizony sokat praslasz.	Én is sokat...	0.5427286932181247	q: thirty, s: 0.9, r: 0.5
pratánylik	pratá¥lik	lakok/lakom	nonce word response	pratánylok	pratánylom	23	6	1.2321436812926323	-lik	2	NA	NA	Te bizony sokat pratánylasz.	Én is sokat...	0.5012273548614621	q: thirty, s: 0.9, r: 0.5
préleglik	préleglik	lakok/lakom	nonce word response	préleglek	préleglem	18	9	0.6418538861723947	-lik	2	NA	NA	Te bizony sokat préleglesz.	Én is sokat...	0.5570210080370525	q: thirty, s: 0.9, r: 0.5
prezlik	prezlik	lakok/lakom	nonce word response	prezlek	prezlem	19	7	0.9162907318741552	-lik	1	NA	NA	Te bizony sokat prezlesz.	Én is sokat...	0.5466130529042332	q: thirty, s: 0.9, r: 0.5
pribagszik	pribagßik	lakok/lakom	nonce word response	pribagszok	pribagszom	9	17	-0.587786664902119	-szik	2	NA	NA	Te bizony sokat pribagszol.	Én is sokat...	0.43187068205399554	q: thirty, s: 0.9, r: 0.5
pribemlik	pribemlik	lakok/lakom	nonce word response	pribemlek	pribemlem	26	3	1.9095425048844383	-lik	2	NA	NA	Te bizony sokat pribemlesz.	Én is sokat...	0.5558291284609862	q: thirty, s: 0.9, r: 0.5
prihekszik	prihekßik	lakok/lakom	nonce word response	prihekszek	prihekszem	13	16	-0.1941560144409575	-szik	2	NA	NA	Te bizony sokat prihekszel.	Én is sokat...	0.38482062275106604	q: thirty, s: 0.9, r: 0.5
prilegzik	prilegzik	lakok/lakom	nonce word response	prilegzek	prilegzem	11	16	-0.3483066942682157	-zik	2	NA	NA	Te bizony sokat prilegzel.	Én is sokat...	0.5282607249293513	q: thirty, s: 0.9, r: 0.5
prínylik	prí¥lik	lakok/lakom	nonce word response	prínylok	prínylom	17	9	0.5877866649021191	-lik	1	NA	NA	Te bizony sokat prínylasz.	Én is sokat...	0.5368449589621505	q: thirty, s: 0.9, r: 0.5
prohódzik	prohódzik	lakok/lakom	nonce word response	prohódzok	prohódzom	7	22	-1.0560526742493137	-zik	2	NA	NA	Te bizony sokat prohódzol.	Én is sokat...	0.5211742575718047	q: thirty, s: 0.9, r: 0.5
prűrlik	prűrlik	lakok/lakom	nonce word response	prűrlök	prűrlöm	19	7	0.9162907318741552	-lik	1	NA	NA	Te bizony sokat prűrlesz.	Én is sokat...	0.552615464536901	q: thirty, s: 0.9, r: 0.5
pugoslik	pugoslik	lakok/lakom	nonce word response	pugoslok	pugoslom	20	7	0.965080896043587	-lik	2	NA	NA	Te bizony sokat pugoslasz.	Én is sokat...	0.578003841561972	q: thirty, s: 0.9, r: 0.5
rájzik	rájzik	lakok/lakom	nonce word response	rájzok	rájzom	13	13	0	-zik	1	NA	NA	Te bizony sokat rájzol.	Én is sokat...	0.5058534620115432	q: thirty, s: 0.9, r: 0.5
ribegzik	ribegzik	lakok/lakom	nonce word response	ribegzek	ribegzem	13	16	-0.1941560144409575	-zik	2	NA	NA	Te bizony sokat ribegzel.	Én is sokat...	0.5361636908907609	q: thirty, s: 0.9, r: 0.5
ribzik	ribzik	lakok/lakom	nonce word response	ribzok	ribzom	10	19	-0.5978370007556204	-zik	1	NA	NA	Te bizony sokat ribzol.	Én is sokat...	0.589427115816873	q: thirty, s: 0.9, r: 0.5
rokszik	rokßik	lakok/lakom	nonce word response	rokszok	rokszom	11	16	-0.3483066942682157	-szik	1	NA	NA	Te bizony sokat rokszol.	Én is sokat...	0.44398725333909594	q: thirty, s: 0.9, r: 0.5
ruslik	ruslik	lakok/lakom	nonce word response	ruslok	ruslom	21	8	0.8938178760220965	-lik	1	NA	NA	Te bizony sokat ruslasz.	Én is sokat...	0.5880299003933657	q: thirty, s: 0.9, r: 0.5
salárzik	salárzik	lakok/lakom	nonce word response	salárzok	salárzom	15	12	0.20763936477824457	-zik	2	NA	NA	Te bizony sokat salárzol.	Én is sokat...	0.5431709573763087	q: thirty, s: 0.9, r: 0.5
siladzik	siladzik	lakok/lakom	nonce word response	siladzok	siladzom	10	16	-0.4353180712578455	-zik	2	NA	NA	Te bizony sokat siladzol.	Én is sokat...	0.5351369263501529	q: thirty, s: 0.9, r: 0.5
sojzik	sojzik	lakok/lakom	nonce word response	sojzok	sojzom	11	18	-0.4595323293784402	-zik	1	NA	NA	Te bizony sokat sojzol.	Én is sokat...	0.5503679272043959	q: thirty, s: 0.9, r: 0.5
spáraklik	spáraklik	lakok/lakom	nonce word response	spáraklok	spáraklom	18	11	0.4595323293784402	-lik	2	NA	NA	Te bizony sokat spáraklasz.	Én is sokat...	0.46874075526863285	q: thirty, s: 0.9, r: 0.5
spatárzik	spatárzik	lakok/lakom	nonce word response	spatárzok	spatárzom	14	15	-0.06453852113757118	-zik	2	NA	NA	Te bizony sokat spatárzol.	Én is sokat...	0.4897746694430245	q: thirty, s: 0.9, r: 0.5
spatszik	spatßik	lakok/lakom	nonce word response	spatszok	spatszom	11	16	-0.3483066942682157	-szik	1	NA	NA	Te bizony sokat spatszol.	Én is sokat...	0.4256031781893004	q: thirty, s: 0.9, r: 0.5
spélszik	spélßik	lakok/lakom	nonce word response	spélszek	spélszem	16	11	0.3483066942682158	-szik	1	NA	NA	Te bizony sokat spélszel.	Én is sokat...	0.4677541436354019	q: thirty, s: 0.9, r: 0.5
spéslik	spéslik	lakok/lakom	nonce word response	spéslek	spéslem	21	6	1.1451323043030026	-lik	1	NA	NA	Te bizony sokat spéslesz.	Én is sokat...	0.5445821991268232	q: thirty, s: 0.9, r: 0.5
spibádzik	spibádzik	lakok/lakom	nonce word response	spibádzok	spibádzom	12	15	-0.2076393647782445	-zik	2	NA	NA	Te bizony sokat spibádzol.	Én is sokat...	0.5861757376974926	q: thirty, s: 0.9, r: 0.5
spibaklik	spibaklik	lakok/lakom	nonce word response	spibaklok	spibaklom	14	13	0.06899287148695142	-lik	2	NA	NA	Te bizony sokat spibaklasz.	Én is sokat...	0.4823776157776593	q: thirty, s: 0.9, r: 0.5
spihegzik	spihegzik	lakok/lakom	nonce word response	spihegzek	spihegzem	14	15	-0.06453852113757118	-zik	2	NA	NA	Te bizony sokat spihegzel.	Én is sokat...	0.5749085351695022	q: thirty, s: 0.9, r: 0.5
spihemlik	spihemlik	lakok/lakom	nonce word response	spihemlek	spihemlem	25	2	2.159484249353372	-lik	2	NA	NA	Te bizony sokat spihemlesz.	Én is sokat...	0.5709821859512679	q: thirty, s: 0.9, r: 0.5
